smiles,node_id,num_expansions,rollout_num,score,Q_value,num_reactions,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles,building_block_1_3_id,building_block_1_3_smiles
O=C(NC(Cc1ccc(O)cc1)C(=O)NCc1cn(-c2cccc(CNC(=O)c3cn[nH]c3-n3cnnn3)c2)nn1)c1ccoc1,85131,1,117,-164.85353088378906,-164.85353088378906,1,275592,24350105,CC(C)(C)OC(=O)NCc1cn(-c2cccc(CN)c2)nn1,2794310,O=C(O)c1cn[nH]c1-n1cnnn1,26388971.0,O=C(NC(Cc1ccc(O)cc1)C(=O)O)c1ccoc1
O=C(NCc1nnc(C2CCCN(C(=O)c3ccnc(Oc4ccc([N+](=O)[O-])cc4)c3)C2)[nH]1)c1cc([N+](=O)[O-])ccc1-n1cnnn1,85134,1,118,-164.4553680419922,-164.4553680419922,1,275592,27030975,CC(C)(C)OC(=O)NCc1nnc(C2CCCNC2)[nH]1,3568137,O=C(O)c1ccnc(Oc2ccc([N+](=O)[O-])cc2)c1,8239099.0,O=C(O)c1cc([N+](=O)[O-])ccc1-n1cnnn1
O=C(NCc1cn(C2COCC2CNC(=O)c2cc([N+](=O)[O-])ccc2-n2cnnn2)nn1)c1cc([N+](=O)[O-])ccc1-n1cnnn1,84841,1,12,-164.14439392089844,-164.14439392089844,1,275592,26057533,CC(C)(C)OC(=O)NCC1COCC1n1cc(CN)nn1,8239099,O=C(O)c1cc([N+](=O)[O-])ccc1-n1cnnn1,8239099.0,O=C(O)c1cc([N+](=O)[O-])ccc1-n1cnnn1
O=C(NCc1nnc(C2CCCN(C(=O)c3cc([N+](=O)[O-])ccc3-n3cnnn3)C2)[nH]1)c1ccnc(Oc2ccc([N+](=O)[O-])cc2)c1,85135,0,118,-164.07215881347656,0.0,1,275592,27030975,CC(C)(C)OC(=O)NCc1nnc(C2CCCNC2)[nH]1,8239099,O=C(O)c1cc([N+](=O)[O-])ccc1-n1cnnn1,3568137.0,O=C(O)c1ccnc(Oc2ccc([N+](=O)[O-])cc2)c1
Cn1cc([N+](=O)[O-])c(OCC(=O)N2CC(n3cc(CNC(=O)c4ccc(NCc5ccc([N+](=O)[O-])o5)cc4)nn3)C2)n1,84991,1,66,-161.7209930419922,-161.7209930419922,1,275592,24375239,CC(C)(C)OC(=O)NCc1cn(C2CNC2)nn1,18486662,Cn1cc([N+](=O)[O-])c(OCC(=O)O)n1,7212422.0,O=C(O)c1ccc(NCc2ccc([N+](=O)[O-])o2)cc1
O=C(NCc1cccc(-n2cc(CNC(=O)c3cnc(O)c([N+](=O)[O-])c3)nn2)c1)c1cnc(O)c([N+](=O)[O-])c1,84852,1,16,-161.5669403076172,-161.5669403076172,1,275592,24350105,CC(C)(C)OC(=O)NCc1cn(-c2cccc(CN)c2)nn1,2793539,O=C(O)c1cnc(O)c([N+](=O)[O-])c1,2793539.0,O=C(O)c1cnc(O)c([N+](=O)[O-])c1
Cc1cc(C(=O)NCc2cn(C3CCN(C(=O)c4ccc(NCc5ccc([N+](=O)[O-])o5)cc4)C3)nn2)nc2nc(O)[nH]c(=O)c12,85157,1,125,-161.20274353027344,-161.20274353027344,1,275592,13882998,CC(C)(C)OC(=O)N1CCC(n2cc(CN)nn2)C1,3568396,Cc1cc(C(=O)O)nc2nc(O)[nH]c(=O)c12,7212422.0,O=C(O)c1ccc(NCc2ccc([N+](=O)[O-])o2)cc1
[N-]=[N+]=NC1CN(C(=O)c2ccc(NCc3ccc([N+](=O)[O-])o3)cc2)CC1NC(=O)c1cc([N+](=O)[O-])ccc1Sc1ncn[nH]1,85607,1,293,-160.9722442626953,-160.9722442626953,1,275592,26760406,CC(C)(C)OC(=O)N1CC(N)C(N=[N+]=[N-])C1,9154,O=C(O)c1cc([N+](=O)[O-])ccc1Sc1ncn[nH]1,7212422.0,O=C(O)c1ccc(NCc2ccc([N+](=O)[O-])o2)cc1
NCC(c1ccc2ccccc2c1)N(C(=O)C1CCc2nnnn2CC1)C(=O)C(NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)c1ccccc1,84835,1,10,-160.84727478027344,-160.84727478027344,1,240690,26708129,NCC(NC(=O)C1CCc2nnnn2CC1)c1ccc2ccccc2c1,2238634,O=C(NC(C(=O)O)c1ccccc1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,,
N#Cc1cccc(OCc2ccoc2C(=O)N2CCc3[nH]nc(CNC(=O)C(=Cc4ccco4)n4nnnc4-c4ccccc4)c3C2)c1,85901,1,400,-160.72695922851562,-160.72695922851562,1,275592,5217792,CC(C)(C)OC(=O)N1CCc2[nH]nc(CN)c2C1,14409,O=C(O)C(=Cc1ccco1)n1nnnc1-c1ccccc1,2129174.0,N#Cc1cccc(OCc2ccoc2C(=O)O)c1
