,SMILES
0,OCC12CC(CNC3CCCC=4N=C(SC43)C=5C=CC=CC5F)(C1)OC2
1,"CC=1C(=COC1C(=O)N(C)C)S(=O)(=O)N[C@@]23CCC[C@H]3CNC2 |&1:15,19,r|"
2,COC=1C(F)=CC(=CC1F)S(=O)(=O)NC2=NN3CCCCC3=N2
3,CCS(=O)(=O)C=1C=CC=CC1CC(=O)N(C)C=2C=CC(C)=NN2
4,CC=1C=C(C=NC1C)NS(=O)(=O)CCC=2C=CC=C(F)C2
5,CCN(CC1=NOC=2CCOCC12)C=3C=CC=C(C3)C(=O)O
6,FC(F)(F)CN1C=CC(CC2=NC(=NO2)C=3C=CSC3Cl)=N1
7,CC=1C=CC(=CC1C)CC2=NOC(CC3CC(=O)NC=4C=CC=CC43)=N2
8,CP(C)(=O)C=1C=CC(=CC1)C2=NC(=NO2)C3CCOC4(CCC4)C3
9,CC(C)CC1=CC=C(C2=NOC(=N2)C3CC=4C=CC=CC43)C(=O)N1
10,CN1N=C(C=C1C(F)F)C(=O)N2CCNC(=O)C3=CC=CC=C32
11,CN1CC(NCC1=O)C2=NC(=NO2)C=3C=CC(=NC3)N4CCOCC4
12,"CN1N=CC=2C=CC(=CC21)C3=NOC(=N3)[C@@]45CNC[C@H]5CCOC4 |&1:15,19,r|"
13,CN1CCN(CC1)C(=O)C=2C=CC(=CC2)C=3C=CC=C(C3)C(N)=O
14,CNC(=O)C=1C=CC=CC1N(C)C(=O)C2=C3CCCC3=NN2C
15,O=C(CN1CCOCC1=O)N2CC(=O)NC3=CC(F)=C(F)C=C32
16,O=C(C=1OC=NC1C2CC2)N3CC(=O)NC4=CC(F)=C(F)C=C43
17,CC=1C=NN(C)C1S(=O)(=O)N2CCC=C(C2)C=3C=NN(C)C3
18,CC1=C(C=NN1C)S(=O)(=O)N(C)CC=2C=C(NN2)C=3C=CC=CC3
19,CC1=CC(CN2C(=NN=C2N3C[C@H]4CCC[C@H]4C3)C=5C=CC=CC5)=NO1
20,CN1C=NC=2C=CC(=CC21)NC(=O)C3=NOC=4CCCCC34
21,COC=1C=CC(=CC1)COCC(=O)NC=2C=C(N(C)N2)C(F)(F)F
22,CC=1C=C(C=CC1S(=O)(=O)N(C)C)NC(=O)C2CCCCO2
23,CCC(OC=1C=CC=CC1F)C(=O)NC2(CCC2)C=3N=CON3
24,CCC(CC)CN(CC)C(=O)C1=CN(N=N1)C(F)(F)CO
25,CC1=NN(C)C=2N=CC(=CC12)NC(=O)N3CCSC4CCC43
26,CC(C)(C)OC(=O)N1C[C@@H]2CCCN(C(=O)NC=3C=CN=CC3)[C@@H]2C1
27,CCN1C2CCC1CC(C2)NCC(O)C=3C=CC=C(C)C3
28,O=C(NC1CCOCC1)C=2C=CC(=CN2)C=3C=CC(F)=C(F)C3F
29,COC(=O)C1=NNC(NS(=O)(=O)C=2C=NN(C2)C(C)C)=C1Cl
30,CC(=O)N1CCC(CC1)C2=NC(=NO2)C3(CCCCC3)C(F)(F)F
31,CC=1C=CC(=CC1)C2=NN=C(O2)SCCN3CCC(F)(F)CC3
32,CC=1C=CN=C(CN2C(=O)C(=CN(C)C2=O)C(F)(F)F)N1
33,CC(NC(=O)COCC1=NC=2C=CC=CC2S1)C=3C=NC=CN3
34,COC=1C=CC=C(C1)C(C)C(=O)N2CCCC(C2)C3=CN(C)N=N3
35,CC(C(=O)NCC1=NS(=O)(=O)C=2C=CC=CC2N1)C3CC3
36,CC1=NC(=C(O1)C=2C=CC=CC2)S(=O)(=O)NC=3C=NN(C3)C(C)C
37,C=CCN1C(=NN=C1C=2C=CC=CC2)SCCC3COC3
38,CC(NC(C(N)=O)C=1C=CC=CC1)C(=O)N2CCC=3SC=CC3C2
39,COC=1C=CC(C)=CC1S(=O)(=O)N2CC3(CCNCC3)[C@H]4COC[C@H]42
40,CC1(C)CN(C(=O)C=2C=CSC2)C=3C=NC=CC3NC1=O
41,CC(=O)N1CC2(CCN(CC2)C(=O)C=3C=CC=4N=C(C)SC4C3)[C@H]5COC[C@H]51
42,CC(=O)N1CC2(CCN(CC2)C(=O)CCC=3C=C(F)C=CC3F)[C@H]4COC[C@H]41
43,CCN1CCN(CC21CCOC2)C(=O)C=3C=NN(C3C)C=4C=CC=C(Cl)C4
44,CC(OCC=1C=CC=CC1)C(=O)N2CCN(C)C3(CCOCC3)CC2
45,CCCC1=NC(C)=C(S1)C(=O)N2CCN(C)C3(CCOCC3)CC2
46,CC(C)(C)N1CCC(NC[C@H](O)C=2C=CC(Cl)=CC2)C1=O
47,CC1=CC(COCC(=O)N2CCCN(CC2)C=3C=CC=CC3F)=NO1
48,CC(C(=O)N1CCC2(CCC2)S(=O)(=O)CC1)C=3C=NN(C)C3
49,O=C(C=1C=CN=C(N1)C=2C=CC=CC2)N3CCC(CN4C=NN=C4)CC3
50,O=C(NCC1=NNC(=O)N1C2CC2)C=3C=CC(F)=C4C=CC=NC34
51,CN1C=CC(=N1)C2=CC(=NO2)C(=O)NC=3C=NC=C4CCCCC34
52,CC=1N=NC=CC1C(=O)N[C@@]2(C[C@H](O)C2)C=3C=CC=CC3
53,CC1=CNN=C1C(=O)N2CCC(CC2)C=3C=CC=4NC=CC4C3
54,O=C(NC1CC=2NN=CC2C(C1)C(F)(F)F)C=3C=CC=NN3
