,SMILES
0,NC(=O)NC1CCN(C1)C(=O)C=2C=CC(=CC2)NS(=O)(=O)C3=CC=C(Br)S3
1,"CC1CC(CO1)C(=O)N[C@H]2C[C@H]2[C@H]3C[C@H]3C(=O)O |&1:9,11,&2:12,14,r|"
2,O=C(C1=CC=2C=C(F)C=CC2S1)N3CCC4(CCN(C4)C=5N=CC=CN5)C3
3,CCN1CCC(SC2=NN=C(C3=CNC=4C=CC=CC34)N2CC5CCCO5)C1=O
4,"CCOC(=O)[C@H]1CC[C@H]1C(=O)NC(C)C=2C=NN(C2C)C=3C=CC(F)=CC3 |&1:5,8,r|"
5,C#CCCC1(CCNC(=O)C2=CC=C(C)C(=C2)NC(=O)C3=CC=CO3)N=N1
6,CC1=NOC(=N1)C(C)N(C)C(=O)C=2C=CC(C(N)=O)=C(Cl)C2
7,CC=1C=CC(C)=C2NC(=CC12)C(=O)NCCN3CCOC3=O
8,CC=1C=CC=CC1C(=O)NC23CCCC3N(CC2)C(=O)CC4CC4
9,O=C(CC(F)(F)F)N1CC2(C1)CCN(CC2)C(=O)C=3C=CC=C4CCCCC34
10,CCC=1ON=C(C)C1CN2CCC3(CC(C)N(C3)C(=O)[C@@H]4C[C@H]4C)CC2
11,CC1=CC=CC(C)=C1CN2CC3(C2)CCN(CC3)C(=O)C4=NC=CN=C4C(N)=O
12,CN1C=NN(CC(=O)NC[C@@H]2CC[C@H](CC2)NC(=O)CC3CCCCC3)C1=O
13,COC=1C=CC=C(C1)CC(=O)N[C@H]2CC[C@H](CNC(C)=O)CC2
14,CN(CCC=1C=CC=CC1)C(=O)C=2C=C3N=CC=CN3N2
15,CC=1C=CC=2NC(=CC2C1)C(=O)NC3CN(C3)C(=O)C4(C)CC4
16,C=CCNS(=O)(=O)C=1C=C(C=CC1Cl)C(F)(F)F
17,CCOC=1C=CC=CC1C2=NC(=CS2)CC(=O)O
18,CN(CC=1C=CC=NC1)C(=O)C=2C=CC=CC2F
19,CC=1N=CSC1C(=O)NCC=2C=CC(C#N)=CC2
20,CC=1C=CC(=CC1F)S(=O)(=O)N(C)C2CCNC2
21,O=C(CSC1=NC2=CC=CC=C2O1)N3CCCC3
22,CC1CCC(CC1)NC(=O)CN2CCC[C@H]2CO
23,CCCC(C)(NC(=O)C=1C=C(C)OC1C)C(=O)OC
24,COC=1C=CC(=CC1OC)NC(=O)C2(N)CCCC2
25,CC1=NN=C(N1)C(NC(=O)C=2C=CC=CC2)C(C)C
26,O=S(=O)(NCC1CN(CC=2C=CC=CC2)CCO1)C3=CC=CC=C3F
27,O=S(=O)(NCC1=CC=CO1)C2=CC=C3OCCOC3=C2
28,CC1CCCCC1NC(=O)COC=2C=CC(C#N)=CC2
29,O=C(O)C1CC2CCCCC2N1C(=O)C3CC=CCC3
30,O=C(CCC1=CNC=2C=CC=CC12)NCC3=CC=CO3
31,COC=1C=CC(Br)=CC1S(=O)(=O)NC=2C=CC=CC2C
32,O=C(O)CC=1C=CC(=CC1)NS(=O)(=O)C=2C=CC(F)=CC2
33,CC=1C=CC(=CC1)S(=O)(=O)N2CCN(CCC(=O)O)CC2
34,CCCOC(=O)C=1C=CC(=CC1)NC(=O)C=2C=CC=CC2
35,CCCC(C)(NS(=O)(=O)C=1C=CC=CC1OC)C(=O)OC
36,COC=1C=CC=C(C1)CC(=O)NC2CCC(CC2)C(=O)O
37,O=C(NC=1C=CC=C(C1)OC=2C=CC=CC2)C3=CC=CO3
38,Cl.CCS(=O)(=O)N1CCC(CC1)NCC=2C=CC=C3OCOC23
39,O=C(NCC1COC=2C=CC=CC2O1)C=3C=CC(F)=CC3Br
40,CCCCN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC=C(C2)C(=O)O
41,O=C(O)CCN1C(=O)OC2=CC(=CC=C21)S(=O)(=O)N3CCCC3
42,COC(=O)C1CCN(CC1)C(=O)C2=CC(=O)NC3=CC=CC=C23
43,O=C(C1CCCC2=CC=CC=C21)N3CCC(CC3)C4CCCN4
44,CC1=NOC(C)=C1S(=O)(=O)NC=2C=CC(=CC2)C(C)(C)C(=O)O
45,CCC1CN(CC2=CC(=O)N(C)C(=O)N2C)CCN1CC(C)O
46,COC=1C=CC(=CC1S(=O)(=O)N2CCCC=3C=CC=CC32)C(=O)O
47,O=C(O)C1(CCN(CC1)C(=O)C=2C=CC(Cl)=CC2)C=3C=CC=CC3
48,O=C(C1=NNC=2C=CC=CC12)N3CCC(CC=4C=CC=CC4)CC3
49,CC(C)C1=NN(C)C(=C1CNC2CCC(O)CC2)N(C)C
50,CC(C)(C)C1CCCCC1NC(=O)C=2C=CC=C(C2)S(C)(=O)=O
51,O=C(CCSCC1=COC(=N1)C=2C=CC=CC2)N3CCCCC3
52,CC=1C=CC=C(C1)OCCC(=O)NC2CCC3=NC=CN3C2
53,CCN1C(=NC=2C=CC=CC21)SCC(=O)NC(=O)NC(C)(C)C
54,CC1=NN=C(CN2CCCC2C=3C=CC(C)=CC3)O1
55,O=C(O)[C@@H](NC(=O)[C@H]1CCC(=O)N1)C=2C=CC=CC2
56,CSC1=NC=2C=CC=CC2C(=O)N1C=3C=CC(=CC3)OC(F)F
57,COC=1C=C(C=CC1C)CC(=O)N2CCC[C@H]3C(=O)NC[C@H]32
58,O=C(NCCCN1C=NC=N1)N2CCCC(C2)N3CCCC3
59,O=C(NCC=1C=CC=C(C1)NC(=O)C2CCC2)NCC3CCCC=4C=CC=CC43
60,O=C(NCC1=CC=CC2=CC=CC=C12)C3CC(=O)N(C3)C4CCCC4
61,CC1=NOC(C)=C1C(=O)NC2CCOC=3C=CC=CC32
62,NC(=O)C1CCN(CC1)C(=O)NCC=2C=CC(=NC2)N3CCCC3
63,CC(C)NC(=O)NCC=1C=CC(=CC1)C(=O)N2CCCN(CC(=O)N(C)C)CC2
64,CCN1C(=NN=C1C=2C=CN=CC2)SCC(=O)NC=3C=CC=4OCOC4C3
65,CC=1C=C(SCC(=O)N2CCCCCC2)N3C(=NC=4C=CC=CC43)C1C#N
66,CCCSC=1N=CN=C2C1C=NN2C=3C=CC=CC3
67,CN(CCC=1C=CC=CC1)C(=O)C=2C=CC(=O)N(C)C2
68,CCN(C(=O)C1CC2CCC1C2)C3CCS(=O)(=O)C3
69,CCN(C(=O)C=1C=CC(OC(F)F)=C(C1)OC)C2CCS(=O)(=O)C2
70,O=C(NCC1=NC2=CC=CC=C2S1)NC3CCC(O)CC3
71,COC=1C=CC(=CC1)CNC2CCCN(C2)C3=NC=CNC3=O
72,CN1CCN(CC1)C2(CNC(=O)NCC=3C=CNN3)CCCCCC2
73,CCN1C=C(C=N1)NC(=O)NCC2CCN(CC)C2
74,CC(NC(=O)NCC1(CC1)C=2C=CC(F)=CC2)C3=NN=CN3C
75,CC=1C=CC=CC1C2CCN(C2)C(=O)C3CC(=O)N(C)C3
76,CC(C)C(=O)NC=1C=CC(=CC1)CNC(=O)NCCC=2C=CC=CN2
77,CN1C(C(=O)N2CCNC(C2)C=3C=NC=CC3)=C(Cl)C=4C=CC=CC41
78,CCN1C=C(C=N1)NC(=O)NCC=2C=CC(OC)=C(O)C2
79,CN(C)S(=O)(=O)N1CCCCC1C=2C=CC(=CC2)C(F)(F)F
80,O=C(NC=1C=CC=C(C1)CNC(=O)N2CCN(C(=O)C2)C3CC3)C4CCCC4
81,CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=3CCCCC3C2
82,CC=1C=CC(=CC1F)CNC(=O)CN2CCCC(C2)N3CCNC3=O
83,O=C(CCN1CCCN(CC1)C2=NC=CS2)NC=3C=CC=CC3
84,CC(=O)N1CCN(CCC(=O)NC=2C=CC=CC2F)CC1
85,COC(=O)C=1C=CC=C(N1)C(=O)N(CCC(C)C)C2CC2
86,O=C(CN(C1CC1)C2CCC3=CC=CC=C32)N4CCNC(=O)C4
87,CCOC=1C=CC=CC1NC(=O)C(C)N2CCC(CN(C)C)CC2
