,smiles
0,Br.COC=1C=CC(CCN=C2NCCCCN2)=C(Cl)C1OC
1,BrC1=CC=C(O1)C2=NOC(=N2)C3=CC=NN3C4CCCC4
2,BrC1=CSC(=C1)C2=NOC(CSC3=NN=CN3)=N2
3,BrC=1C=CC(=CC1)C2(CNC(C3=NC=CN3)C=4C=CC=NC4)CCOCC2
4,BrC=1C=CC(=CC1)C2=NNC=C2CN3CCN(CC3)C4CCOCC4
5,BrC=1C=CC(CC2=NC(=NO2)N3CCNCC3)=C4C=CC=CC14
6,"BrC=1C=CC=2NC(=CC2C1)C3=NOC(=N3)[C@H]4C[C@@H]5CC[C@H]4O5 |&1:15,17,20,r|"
7,BrC=1C=CC=C(C1)C2CCN(C2)C=3N=CN=C4N=CNC34
8,BrC=1C=CC=C2C1CCC2NCC3=NOC=4CCOCC34
9,BrC=1C=CC=C2C1OCCC2NC=3N=CN=C4NN=CC34
10,BrC=1C=CC=CC1C2CCCN2C=3N=CN=C4NN=CC34
11,BrC=1C=NC(=NC1)C2CCCN2C=3N=CN=C4CCCC34
12,BrC=1C=NC(=NC1)C2CCCN2C=3N=CN=C4NN=CC34
13,BrC=1C=NC=C(C1)C2=CN(CC3=NC=C(O3)C4CC4)N=N2
14,BrC=1C=NN2C=CN=C(NCC3(CCCOC3)N4CCOCC4)C12
15,C#CC(C)(C)N1CCN(CC1)S(=O)(=O)N2CC3CCC2C3
16,C#CC(NC(=O)C1(CC1)C=2C=CC(Cl)=CC2)C3CCOCC3
17,C#CC(NC(=O)C1CC(=O)N(CC(F)(F)F)C1)C(C)C
18,C#CC1(O)CCN(CC1)C(=O)NCCC2=C(C)NC=3C=CC=CC23
19,C#CC=1C=CC(=CC1)C2CCCN2C(=O)C=3C=NC=CC3C
20,"C#CC=1C=CC(=NC1)C2=NN=C(N2)[C@@H]3CCO[C@H]3C=4C=CC=CC4 |&1:13,17,r|"
21,C#CC=1C=CC=C(C1)NC(=O)CN(C)S(=O)(=O)C2=CC=C(Cl)S2
22,C#CC=1C=CN=C(C1)N(CC)C(=O)C=2C=CC=C(C2)OCCOC
23,C#CCC(C)(C)C(=O)NC=1C=CC(=CN1)N2CCN(CC2=O)C(=O)C(C)(C)CC#C
24,C#CCC(CC(F)(F)F)NC(=O)C=1C=CC(=NN1)N2CCCC2
25,C#CCC(CC=1C=CC=CC1)NC=2C=CC=3N=CC=NC3N2
26,C#CCCC(=O)NC1=NC(=CS1)C=2C=CC(=CC2)NS(C)(=O)=O
27,C#CCCC1(CCC(=O)N2CC3(CCCC3)C4=C(F)C=CC=C42)N=N1
28,C#CCCC1(CCC(=O)NC2=CC=CC=C2N3C=CC(=N3)C(=O)O)N=N1
29,C#CCCC1(CCC(=O)NC2CCOC=3C(Cl)=CC=CC32)N=N1
30,C#CCCC1(CCC(=O)N[C@@H]2CC(=O)N(C)[C@H]2C3=CC=NN3C)N=N1
31,C#CCCC1(CCNC(=O)C2=CC=C(C)C(=C2)NC(=O)C3=CC=CO3)N=N1
32,C#CCCN1CCCN(CC1)C=2N=CC(=CN2)S(N)(=O)=O
33,C#CCN(C(=O)C=1C=NC(NC=2C=CC(F)=C(F)C2)=C(Cl)C1)C3CCN(C)CC3
34,C#CCN(CC=1C=CC=CC1)C(=O)C(C)NC(=O)C2=CC=CC(Cl)=C2Cl
35,C#CCNC(=O)C1CCC(=O)N(CCCC)C1C2=CC=CC=C2OC
36,C#CCNC(=O)C=1C=CC(OCC=C)=C(C1)OC
37,C#CCNC(=O)CCNC(=O)C1(CC1)C=2C=CC(F)=CC2
38,C#CCNC(=O)CN1C(=O)C2C3C=CC(C3)C2C1=O
39,C#CCNC(=O)CSC1=NC(CN2CCOCC2)=NC3=CC=CC=C13
40,C#CCNC(=O)CSC1=NN=C(NC=2C=CC(=CC2)C(C)C)S1
41,C#CCNC(=O)NCCNC(=O)C=1C=CC(C)=C(F)C1
42,C#CCNS(=O)(=O)C=1C=CC=C(C1)C2=NC(=NO2)C=3C=CC=4NC=CC4C3
43,C#CCOC=1C=CC(=CC1)NC(=O)CNC(=O)NCC2=CC=CO2
44,C/C=C/CCCN(CC=1C=NNC1)C=2C=C(N=C(N2)C3CC3)C(N)=O
45,C1=C(CCN2CCOCC2)N=NN1CC3=CC=C4C=CC=CC4=C3
46,C1=C(CNCC=2C=CC=CC2)N=NN1CC3CC4(CO3)CCOCC4
47,C1=C(COC2CCCCO2)N=NN1[C@@H]3CCCC4=CC=CN=C43
48,C1=C(CSC2=NN=C(NC3CC3)S2)N=C4C=CC=CN14
49,C1=C(N=NN1C(CC2CCCCC2)C=3N=CC=CN3)C4CCC4
50,C1=C(N=NN1C=2C=CC(=CC2)OCC=3C=CC=CC3)C4CCOC4
51,C1=C(N=NN1CC2=NNC=3CCOCC23)C45CC6CC(CC(C6)C5)C4
52,C1=C(N=NN1CCOC2CCOC2)C=3C=NC=4C=CC=CC4N3
53,C1=C(NC=2C=CC=CC12)C3=NN=C(N3)N4CCN(CC4)C=5N=CC=CN5
54,C1=C(NN=C1C2CCN(CC2)C=3C=NC=CN3)C=4C=CN=CC4
55,C1=CC(=CC(=C1)C2CCOC2)C3=NN=C(O3)C4=CC=CC(=C4)C5CCOC5
56,C1=CC(=CC=C1CN2CCC3(CCOC3)C2)OC4=CN=CC=N4
57,C1=CC(=CC=N1)C=2N=C(C=3CCCC3N2)N4CCCN5CCCC5C4
58,C1=CC(=CN=C1)C2N(CC32CCC3)C4=NC(=NS4)C5CCOCC5
59,C1=CC(=CN=C1)CC2CCCN(C2)C3=NSC=4C=CC=NC34
60,C1=CC(=CN=C1)COC=2C=CC(=CC2)CC3=NOC(=N3)C4CCC=5N=CN=CC5C4
61,C1=CC(=CS1)C2=NC(=CS2)CN3CCC[C@H]3C4=NC=NN4
62,C1=CC(=CS1)C2=NOC(=N2)C=3C=NNC3C4=CC=C5OCOC5=C4
63,C1=CC(=CS1)C2=NOC(CN3CCN4C(=NN=C4C3)C5CC5)=N2
64,C1=CC(=NC(=C1)C2=NOC(=N2)C=3C=CC(=NC3)N4CCNCC4)N5CCOCC5
65,C1=CC(=NN1)C=2C=CC=C(C2)C=3C=NC=C(N3)NC4CCNC4
66,C1=CC(=NO1)C2=NN=C(NCC=3C=C(C=CN3)OC4CCC4)S2
67,C1=CC(=NO1)C2=NN=C(S2)N3CCC[C@H]3COC=4C=CC=CC4
68,C1=CC(=NO1)C=2C=CC=C(C2)NCC3=CC(=NN3)C=4C=CC=CN4
69,C1=CC(CNC2CCOCC32CCCCC3)=C(N=C1)N4CCOCC4
70,C1=CC=2C(=NC=NC2N1)N3CC(C3)C=4N=CC(=CN4)C5CC5
71,C1=CC=2C(=NC=NC2N1)NCC=3C=CN(N3)C4CCCC4
72,C1=CC=2C(=NC=NC2S1)NCC=3C=CC=4N=CC=CC4C3
73,C1=CC=2C(=NC=NC2S1)NCC=3C=CC=C(C3)OCC=4C=CC=CN4
74,C1=CC=2C(=NC=NC2S1)NCC=3C=CN(N3)C4CCCC4
75,C1=CC=2C=C(C=NC2N1)C3=CN(N=N3)C4=CC=C5OCCOC5=C4
76,C1=CC=2C=CC(=NC2N1)C3=NOC(=N3)C45CCCN(CCC4)C5
77,C1=CC=C(C=C1)C=2C=NC=C(N2)N3CCC(CC3)NC4=CC=CN=N4
78,C1=CC=C(C=C1)CC2CN(CCN2)C3=NN=C(S3)C=4C=CC=CN4
79,C1=CC=C(C=C1)NC2=NOC(=N2)C=3C=CN=C(N3)C4CCCC4
80,C1=CC=C(C=C1)OC=2C=CC(=CC2)CON3N=NC4=CC=CN=C43
81,C1=CC=C(C=C1)OC=2C=CN=C(N2)NC3CCOC(C3)C=4C=CC=CC4
82,C1=CN(C=N1)C=2C=C(N=CN2)NCC34COCCN4CCOC3
83,C1=CN(C=N1)C=2C=CC(=CC2)CNCC3=CN4CCCCCC4=N3
84,C1=CN(C=N1)C=2C=CC=C(C2)C3=NOC(=N3)C45CCCN(CCC4)C5
85,C1=CN(C=N1)CC(NC2CCC=3C=NOC3C2)C=4C=CC=CC4
86,C1=CN(C=N1)CCCN2C=C(N=N2)C3=CC=4C=CC=CC4N3
87,C1=CN(C=N1)CCCN2CCN(CC2)C=3C=C(N=CN3)N4CCOCC4
88,C1=CN(C=N1)CCOC=2C=CC=C(C2)CNC3=CC=CC4=CC=CC=C34
89,"C1=CN(C=N1)C[C@H]2CCO[C@H]2C3=NN=C(N3)C=4C=CC=CC4 |&1:6,10,r|"
90,C1=CN(CC2=CN(CCC3OCCO3)N=N2)C=4C=CC=CC14
91,C1=CN(CC=2C=CC=CC2)C(CN3CCCC(C3)N4CCNCC4)=N1
92,C1=CN(CCC=2C=CC=CC2)C(CNC3=NC=CN4N=C(C=C34)C=5C=CC=CC5)=N1
93,C1=CN(N=C1)C=2C=CC=CC2NCC=3C=C(NN3)C=4C=CC=CC4
94,C1=CN(N=C1CNC=2C=CC3=NN=C(C=4C=CN=CC4)N3N2)C5CCCC5
95,C1=CN2C=CN=C(C2=N1)N3CCCCC4(CCCCC4)C3
96,C1=CN=C(N=C1)N2CCC(CC2)C3=NN=C(NC4CCOC4)O3
97,C1=CNC(=N1)C(NCC=2C=CC(=CC2)N3C=CN=C3)C=4C=CC=CC4
98,C1=COC(=C1)C2=NN=C(CN3CCC(C3)NC=4N=CC=CN4)O2
99,C1=COC(=C1)C2=NN=C(CN3CCCC3CC4CCCCC4)O2
100,C1=CSC(=C1)C2=NC(=CO2)CN3CCOC4CCCCC43
101,C1=CSC(=C1)C2=NC(=CO2)CNC3CCC4=NC=NN4C3
102,C1=CSC(=C1)CCNC2=NN=C(O2)C=3C=CC=4C=CNC4C3
103,C1=CSC(=C1)CN2CCN(CC2)C=3N=CN=C4NC=CC34
104,C1=CSC(=N1)N2CCN(CC3=COC(=N3)C=4C=CC=CC4)CC2
105,C1=NC(=CN1)C(NCC2=NN=C3CCCCCN23)C=4C=CC=CC4
106,C1=NC(=CN1)CC2CCN(CC3=NC=4C=CC=CC4S3)CC2
107,C1=NC(=CN1CC2=CN(CC=3C=CC=CC3)N=N2)C=4C=CC=CC4
108,C1=NC(=CN=C1N2CCNCC2)C3=NOC(=N3)C4CC54CCCOC5
109,C1=NC(CNC2C3CCOC3C42CCC4)=NN1C=5C=CC=CC5
110,C1=NC=2C(=NC=NC2N1)N3CCN(CC3)C=4C=CC=CC4
111,C1=NC=2C(=NC=NC2N1C3CC3)NCC4CCOC5=CC=CC=C54
112,C1=NC=2C=C(C=CC2N1)C3=NOC(CN4N=NC(=N4)C=5C=CC=CC5)=N3
113,C1=NC=2CCCC2C(=N1)N3CCN4C(=NN=C4C3)C5CC5
114,C1=NC=2CCN(CC=3N=CN(N3)C=4C=CC=CC4)C5(CCOCC5)C2N1
115,C1=NC=C2C=C(C=CN12)C3=NOC(=N3)C4CC54CCOC5
116,C1=NN(C=2C=CC=CC12)C3CCN(C3)C4=NC=C(S4)C=5C=CC=CC5
117,"C1=NN(C=2C=CC=CC2)C3=NC=NC(NC[C@H]4C=C[C@@H]5C[C@H]4CO5)=C13 |&1:16,19,21,r|"
118,C1=NN(C=2N=CC=CN2)C3=NC=NC(NCCC4=CCOCC4)=C13
119,C1=NN(C=C1C2=CN(CC3CCCN3)N=N2)CC4CCOC4
120,C1=NN(C=C1CN2C=C(CC3CNCCO3)N=N2)C=4C=CC=CC4
121,C1=NN(C=C1CN2CC(C2)C3CCOCC3)CC4CCC4
122,"C1=NN(N=C1CN2CCO[C@H]3COCC[C@H]32)C=4C=CC=CC4 |&1:10,15,r|"
123,C1=NN2C(NCCN3C=NC=C3C=4C=CC=CC4)=C5CCCC5=NC2=N1
124,C1=NN2C=CC(=NC2=C1C3=CNC=4C=CN=CC34)NC5CCCNC5
125,C1=NN2CCCCC2=C1CC3=NC(=NO3)C4(CCC4)C=5C=CN=CC5
126,C1=NN=C(O1)C=2C=CC(=CC2)OCC3=COC(=N3)C=4C=CC=CC4
127,C1=NN=C2CCC(CNC3CCCCCC3)CN12
128,C1=NN=NN1C=2C=CC=C(C2)C=3C=CN=C(C3)NC=4C=CC=CN4
129,C1=NNC=2N=CN=C(C12)N3CCC(C3)C4CCOC4
130,C1=NNC=2N=CN=C(NCC3(CCC3)C=4C=CC=CN4)C12
131,C=1C(CNC(C=2C=CC=NC2)C3CC3)=NNC1C=4C=CC=CC4
132,C=1C=C(CNC[C@H]2CC[C@H](O2)C3=NC(=NN3)C4CC4)N(CC5CCC5)N1
133,C=1C=C(N=CC1C2=NOC(=N2)C34CCCN(CCC3)C4)OCC5CC5
134,C=1C=C(OC1CN2CCCCC2)C3=NC(=NO3)C=4C=CN5C=NC=C5C4
135,C=1C=C2N=C(C=C(NC3COC(C3)C4CC4)N2N1)C=5C=CC=CC5
136,C=1C=C2OCOC2=CC1C3=NN=C4CCCCN34
137,C=1C=C2OCOC2=CC1C3=NOC(CC=4C=NC=NC4)=N3
138,C=1C=C2OCOC2=CC1CNC=3N=CN=C4C3N=NN4C5CC5
139,"C=1C=CC(=CC1)C2=NOC(CNC3[C@H]4CCO[C@H]4C53CCC5)=N2 |&1:13,17,r|"
140,C=1C=CC(=CC1)C2CN(C=3N=CN=C4C=5C=CC=CC5OC34)C6CCOCC26
141,C=1C=CC(=CC1)CC=2N=CC=C(N2)N3CCN(CC3)C=4C=CC=CC4
142,C=1C=CC(=CC1)CCCNC2CCOC3(CCOCC3)C2
