#Ligand,Compound,SMILE,TotalEnergy,VDW,HBond,Elec,AverConPair
Mtb_MraY_ligandless_BS-Top10_3d-0.pdb,Top10,COc1cc(OC)cc(C(=O)Nc2ccc(O)c(C(=O)N(C(=O)c3ccc(-c4nnn[nH]4)cn3)c3nc4[nH]c(NN)nc4c(=O)[nH]3)c2)c1,-129.892,-69.9899,-59.9021,0.0,17.5417
Mtb_MraY_ligandless_BS-Top10_3d-1.pdb,Top10,COc1cc(OC)cc(C(=O)Nc2ccc(O)c(C(=O)N(C(=O)c3ccc(-c4nnn[nH]4)cn3)c3nc4[nH]c(NN)nc4c(=O)[nH]3)c2)c1,-141.593,-97.3017,-44.2912,0.0,18.8333
Mtb_MraY_ligandless_BS-Top10_3d-2.pdb,Top10,COc1cc(OC)cc(C(=O)Nc2ccc(O)c(C(=O)N(C(=O)c3ccc(-c4nnn[nH]4)cn3)c3nc4[nH]c(NN)nc4c(=O)[nH]3)c2)c1,-136.333,-96.8663,-39.4668,0.0,14.8125
Mtb_MraY_ligandless_BS-Top10_3d-3.pdb,Top10,COc1cc(OC)cc(C(=O)Nc2ccc(O)c(C(=O)N(C(=O)c3ccc(-c4nnn[nH]4)cn3)c3nc4[nH]c(NN)nc4c(=O)[nH]3)c2)c1,-150.39,-114.216,-36.1742,0.0,21.4375
Mtb_MraY_ligandless_BS-Top10_3d-4.pdb,Top10,COc1cc(OC)cc(C(=O)Nc2ccc(O)c(C(=O)N(C(=O)c3ccc(-c4nnn[nH]4)cn3)c3nc4[nH]c(NN)nc4c(=O)[nH]3)c2)c1,-147.329,-96.9423,-50.3863,0.0,17.8542
Mtb_MraY_ligandless_BS-Top11_3d-0.pdb,Top11,COc1ccc(CCN(CC(=O)Nc2cc(-c3ccc(C4CCCCC4)cc3)nn2-c2ccccc2)c2c(NC(=O)c3cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c3)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1OC,-131.314,-121.502,-10.2597,0.44812,12.8451
Mtb_MraY_ligandless_BS-Top11_3d-1.pdb,Top11,COc1ccc(CCN(CC(=O)Nc2cc(-c3ccc(C4CCCCC4)cc3)nn2-c2ccccc2)c2c(NC(=O)c3cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c3)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1OC,-158.378,-137.967,-20.0433,-0.368035,14.2958
Mtb_MraY_ligandless_BS-Top11_3d-2.pdb,Top11,COc1ccc(CCN(CC(=O)Nc2cc(-c3ccc(C4CCCCC4)cc3)nn2-c2ccccc2)c2c(NC(=O)c3cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c3)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1OC,-157.228,-123.467,-34.1586,0.397102,15.3803
Mtb_MraY_ligandless_BS-Top11_3d-3.pdb,Top11,COc1ccc(CCN(CC(=O)Nc2cc(-c3ccc(C4CCCCC4)cc3)nn2-c2ccccc2)c2c(NC(=O)c3cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c3)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1OC,-151.963,-121.575,-29.9685,-0.418969,12.7324
Mtb_MraY_ligandless_BS-Top11_3d-4.pdb,Top11,COc1ccc(CCN(CC(=O)Nc2cc(-c3ccc(C4CCCCC4)cc3)nn2-c2ccccc2)c2c(NC(=O)c3cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c3)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1OC,-145.064,-99.1493,-46.3224,0.408216,14.4648
Mtb_MraY_ligandless_BS-Top12_3d-0.pdb,Top12,[N-]=[N+]=NC1(C(=O)NCc2cn(C3COCC3CN(C(=O)c3ccc(-c4nnn[nH]4)nc3)C(=O)c3ccnc(N)c3[N+](=O)[O-])nn2)CC1,-162.017,-101.905,-60.2321,0.120128,21.1277
Mtb_MraY_ligandless_BS-Top12_3d-1.pdb,Top12,[N-]=[N+]=NC1(C(=O)NCc2cn(C3COCC3CN(C(=O)c3ccc(-c4nnn[nH]4)nc3)C(=O)c3ccnc(N)c3[N+](=O)[O-])nn2)CC1,-159.65,-110.382,-49.0003,-0.267603,16.6383
