#Ligand,Compound,SMILE,TotalEnergy,VDW,HBond,Elec,AverConPair,Library
Mtb_MraY_ligandless_BS-Hit_1_3d-0.pdb,Hit_1,ClC1=CC=C(NC(C2C(OC(C=C(O)C(CCCCCC)=C3)C3=C2)=[NH2+])=O)C=C1,-105.156,-86.157,-18.9986,0,23.1071,Known_inhibitor
Mtb_MraY_ligandless_BS-Hit_1_3d-1.pdb,Hit_1,ClC1=CC=C(NC(C2C(OC(C=C(O)C(CCCCCC)=C3)C3=C2)=[NH2+])=O)C=C1,-97.782,-86.9753,-10.8067,0,19.6071,Known_inhibitor
Mtb_MraY_ligandless_BS-Hit_1_3d-2.pdb,Hit_1,ClC1=CC=C(NC(C2C(OC(C=C(O)C(CCCCCC)=C3)C3=C2)=[NH2+])=O)C=C1,-95.3452,-69.9172,-25.428,0,18.3571,Known_inhibitor
Mtb_MraY_ligandless_BS-Hit_1_3d-3.pdb,Hit_1,ClC1=CC=C(NC(C2C(OC(C=C(O)C(CCCCCC)=C3)C3=C2)=[NH2+])=O)C=C1,-104.834,-90.4679,-14.3657,0,25.75,Known_inhibitor
Mtb_MraY_ligandless_BS-Hit_1_3d-4.pdb,Hit_1,ClC1=CC=C(NC(C2C(OC(C=C(O)C(CCCCCC)=C3)C3=C2)=[NH2+])=O)C=C1,-114.381,-96.5698,-17.8115,0,27.2143,Known_inhibitor
Mtb_MraY_ligandless_BS-Hit_2_3d-0.pdb,Hit_2,OC1=CC=CC(N2C(C(C=CC(C(C3=CC=C4C(C(N(C5=CC=CC(O)=C5)C4=O)=O)=C3)=O)=C6)=C6C2=O)=O)=C1,-116.942,-95.6988,-21.2433,0,21.6316,Known_inhibitor
Mtb_MraY_ligandless_BS-Hit_2_3d-1.pdb,Hit_2,OC1=CC=CC(N2C(C(C=CC(C(C3=CC=C4C(C(N(C5=CC=CC(O)=C5)C4=O)=O)=C3)=O)=C6)=C6C2=O)=O)=C1,-130.887,-125.383,-5.50485,0,24.4737,Known_inhibitor
Mtb_MraY_ligandless_BS-Hit_2_3d-2.pdb,Hit_2,OC1=CC=CC(N2C(C(C=CC(C(C3=CC=C4C(C(N(C5=CC=CC(O)=C5)C4=O)=O)=C3)=O)=C6)=C6C2=O)=O)=C1,-119.543,-89.214,-30.3291,0,22.8421,Known_inhibitor
Mtb_MraY_ligandless_BS-Hit_2_3d-3.pdb,Hit_2,OC1=CC=CC(N2C(C(C=CC(C(C3=CC=C4C(C(N(C5=CC=CC(O)=C5)C4=O)=O)=C3)=O)=C6)=C6C2=O)=O)=C1,-127.256,-107.501,-19.7558,0,22.3158,Known_inhibitor
Mtb_MraY_ligandless_BS-Hit_2_3d-4.pdb,Hit_2,OC1=CC=CC(N2C(C(C=CC(C(C3=CC=C4C(C(N(C5=CC=CC(O)=C5)C4=O)=O)=C3)=O)=C6)=C6C2=O)=O)=C1,-129.056,-102.289,-26.7664,0,24.2895,Known_inhibitor
Mtb_MraY_ligandless_BS-Maxi_1_3d-0.pdb,Maxi_1,C#CC(C(=O)NNC(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1)C(C)C,-114.031,-94.6735,-19.3578,0,21.6,Maxi_predict
Mtb_MraY_ligandless_BS-Maxi_1_3d-1.pdb,Maxi_1,C#CC(C(=O)NNC(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1)C(C)C,-106.493,-76.2116,-30.2819,0,19.4667,Maxi_predict
Mtb_MraY_ligandless_BS-Maxi_1_3d-2.pdb,Maxi_1,C#CC(C(=O)NNC(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1)C(C)C,-107.622,-86.9223,-20.6998,0,22.8333,Maxi_predict
Mtb_MraY_ligandless_BS-Maxi_1_3d-3.pdb,Maxi_1,C#CC(C(=O)NNC(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1)C(C)C,-121.361,-108.921,-12.4397,0,26.5333,Maxi_predict
Mtb_MraY_ligandless_BS-Maxi_1_3d-4.pdb,Maxi_1,C#CC(C(=O)NNC(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1)C(C)C,-105.708,-100.845,-4.86264,0,21.6333,Maxi_predict
Mtb_MraY_ligandless_BS-Maxi_2_3d-0.pdb,Maxi_2,C#CC(C(=O)N(N)C(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1)C(C)C,-110.95,-83.7929,-27.1576,0,20.0333,Maxi_predict
Mtb_MraY_ligandless_BS-Maxi_2_3d-1.pdb,Maxi_2,C#CC(C(=O)N(N)C(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1)C(C)C,-102.13,-83.5575,-18.5721,0,21.4,Maxi_predict
Mtb_MraY_ligandless_BS-Maxi_2_3d-2.pdb,Maxi_2,C#CC(C(=O)N(N)C(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1)C(C)C,-119.477,-97.3369,-22.1398,0,24.4,Maxi_predict
Mtb_MraY_ligandless_BS-Maxi_2_3d-3.pdb,Maxi_2,C#CC(C(=O)N(N)C(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1)C(C)C,-112.069,-89.9451,-22.1244,0,22.8333,Maxi_predict
Mtb_MraY_ligandless_BS-Maxi_2_3d-4.pdb,Maxi_2,C#CC(C(=O)N(N)C(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1)C(C)C,-106.929,-87.8846,-19.0447,0,20.2667,Maxi_predict
Mtb_MraY_ligandless_BS-Molecule_12a_3d-0.pdb,Molecule_12a,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2CCCN)=C1,-110.088,-87.4661,-24.9811,2.35971,17.1081,Known_inhibitor
Mtb_MraY_ligandless_BS-Molecule_12a_3d-1.pdb,Molecule_12a,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2CCCN)=C1,-116.584,-79.2341,-35.7969,-1.55281,18.973,Known_inhibitor
Mtb_MraY_ligandless_BS-Molecule_12a_3d-2.pdb,Molecule_12a,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2CCCN)=C1,-121.982,-81.5992,-38.0528,-2.33,19.4054,Known_inhibitor
Mtb_MraY_ligandless_BS-Molecule_12a_3d-3.pdb,Molecule_12a,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2CCCN)=C1,-114.619,-92.0404,-22.1004,-0.477734,21.1622,Known_inhibitor
Mtb_MraY_ligandless_BS-Molecule_12a_3d-4.pdb,Molecule_12a,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2CCCN)=C1,-115.292,-78.9157,-34.0319,-2.34405,21.1351,Known_inhibitor
Mtb_MraY_ligandless_BS-Molecule_1_3d-0.pdb,Molecule_1,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C)=C1,-137.237,-93.9684,-40.9385,-2.33044,23.3824,Known_inhibitor
Mtb_MraY_ligandless_BS-Molecule_1_3d-1.pdb,Molecule_1,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C)=C1,-147.198,-117.44,-30.2414,0.483499,29.5882,Known_inhibitor
Mtb_MraY_ligandless_BS-Molecule_1_3d-2.pdb,Molecule_1,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C)=C1,-129.239,-88.3942,-39.002,-1.84271,24.3529,Known_inhibitor
Mtb_MraY_ligandless_BS-Molecule_1_3d-3.pdb,Molecule_1,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C)=C1,-115.344,-85.5662,-34.1022,4.32453,19.7059,Known_inhibitor
Mtb_MraY_ligandless_BS-Molecule_1_3d-4.pdb,Molecule_1,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C)=C1,-115.866,-79.6996,-37.096,0.929486,22.8529,Known_inhibitor
Mtb_MraY_ligandless_BS-Top10_3d-0.pdb,Top10,COc1cc(OC)cc(C(=O)Nc2ccc(O)c(C(=O)N(C(=O)c3ccc(-c4nnn[nH]4)cn3)c3nc4[nH]c(NN)nc4c(=O)[nH]3)c2)c1,-129.892,-69.9899,-59.9021,0,17.5417,Edward_predict
Mtb_MraY_ligandless_BS-Top10_3d-1.pdb,Top10,COc1cc(OC)cc(C(=O)Nc2ccc(O)c(C(=O)N(C(=O)c3ccc(-c4nnn[nH]4)cn3)c3nc4[nH]c(NN)nc4c(=O)[nH]3)c2)c1,-141.593,-97.3017,-44.2912,0,18.8333,Edward_predict
Mtb_MraY_ligandless_BS-Top10_3d-2.pdb,Top10,COc1cc(OC)cc(C(=O)Nc2ccc(O)c(C(=O)N(C(=O)c3ccc(-c4nnn[nH]4)cn3)c3nc4[nH]c(NN)nc4c(=O)[nH]3)c2)c1,-136.333,-96.8663,-39.4668,0,14.8125,Edward_predict
Mtb_MraY_ligandless_BS-Top10_3d-3.pdb,Top10,COc1cc(OC)cc(C(=O)Nc2ccc(O)c(C(=O)N(C(=O)c3ccc(-c4nnn[nH]4)cn3)c3nc4[nH]c(NN)nc4c(=O)[nH]3)c2)c1,-150.39,-114.216,-36.1742,0,21.4375,Edward_predict
Mtb_MraY_ligandless_BS-Top10_3d-4.pdb,Top10,COc1cc(OC)cc(C(=O)Nc2ccc(O)c(C(=O)N(C(=O)c3ccc(-c4nnn[nH]4)cn3)c3nc4[nH]c(NN)nc4c(=O)[nH]3)c2)c1,-147.329,-96.9423,-50.3863,0,17.8542,Edward_predict
Mtb_MraY_ligandless_BS-Top11_3d-0.pdb,Top11,COc1ccc(CCN(CC(=O)Nc2cc(-c3ccc(C4CCCCC4)cc3)nn2-c2ccccc2)c2c(NC(=O)c3cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c3)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1OC,-131.314,-121.502,-10.2597,0.44812,12.8451,Edward_predict
Mtb_MraY_ligandless_BS-Top11_3d-1.pdb,Top11,COc1ccc(CCN(CC(=O)Nc2cc(-c3ccc(C4CCCCC4)cc3)nn2-c2ccccc2)c2c(NC(=O)c3cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c3)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1OC,-158.378,-137.967,-20.0433,-0.368035,14.2958,Edward_predict
Mtb_MraY_ligandless_BS-Top11_3d-2.pdb,Top11,COc1ccc(CCN(CC(=O)Nc2cc(-c3ccc(C4CCCCC4)cc3)nn2-c2ccccc2)c2c(NC(=O)c3cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c3)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1OC,-157.228,-123.467,-34.1586,0.397102,15.3803,Edward_predict
Mtb_MraY_ligandless_BS-Top11_3d-3.pdb,Top11,COc1ccc(CCN(CC(=O)Nc2cc(-c3ccc(C4CCCCC4)cc3)nn2-c2ccccc2)c2c(NC(=O)c3cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c3)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1OC,-151.963,-121.575,-29.9685,-0.418969,12.7324,Edward_predict
