smiles,TotalEnergy
CN1C=CC(=N1)N2CCCC(C2=O)N3CCC=4C(O)=NN(C)C4C3,-105.8738
CCOC(=O)C(=O)N1CCN(C(=O)[C@@H]2CC(=O)N([C@@H]3CCS(=O)(=O)C3)C2)CC1,-92.9131
CC1(COC1)NC(=O)C=2C=CC(=CC2)CN3C=CC(=N3)C(F)(F)F,-98.3778
CCCC1=NC=CN1C2CCCN(C2)C(=O)C3=C(C=NN3C)C(=O)O,-105.2675
NC(=O)[C@H](N)CCC(=O)N1CCC(N2CCC(NC(=O)Cn3cnnn3)CC2)CC1,-118.5266
CN(CC(=O)N1CC[C@H]2CO[C@@H](CNC(=O)c3cnsn3)[C@H]2C1)C(=O)C(=O)O,-100.6486
O=C(CN1C(=O)[C@H]2[C@H]3CC[C@@H](O3)[C@@H]2C1=O)N1CCN(S(=O)(=O)c2cc[nH]n2)CC1,-148.8565
CC(C(=O)NCC1=CC=CC=C1F)N2CCN(CC2)C3=NC=CS3,-108.1925
O=C(CN1C(=O)C=CC1=O)N1CC[C@]2(C1)CN(C(=O)[C@H](O)N1CCOCC1)CCO2,-105.7807
COC(=O)Cn1cc(CNC(=O)N2CCN(C(=O)CN3CCOCC3)CC2)nn1,-107.4619
Cn1cnc(C(=O)N2CCO[C@]3(COCCN(C(=O)CS(C)(=O)=O)C3)C2)n1,-94.0363
COCC1(CCCCO1)C2=NOC(=N2)C=3C=CC=C(C)C3O,-98.86
CC(C)OCC(=O)N1CCO[C@]2(COCCN(C(=O)CN3C(=O)C=CC3=O)C2)C1,-94.0589
CN(C)C(=O)CN1CCN(C(=O)CN2CCN(CCS(N)(=O)=O)CC2)CC1,-111.5057
CN1CC[C@@H](C(=O)N2CCN(S(=O)(=O)[C@@H]3CCS(=O)(=O)C3)CC2)CC1=O,-91.0362
CC1=C(NC2CCN(C2=O)C3CC3)C(=O)N(C=4C=CC=CC4)N1C,-98.1191
CC(C)CCOC=1C=CC(=CC1)S(=O)(=O)N2CC(=O)NC3=CC=CC=C32,-95.5099
O=C1CC(C(=O)N2CCO[C@]3(COCCN(C(=O)C[C@H]4NC(=O)NC4=O)C3)C2)=NN1,-116.2442
N=C1NCCN1CC(=O)N1CCO[C@]2(CCN(C(=O)c3nc4ncccn4n3)C2)C1,-107.788
O=C(c1cnc2snnc2c1)N1CCOC[C@]2(C1)CN(C(=O)C(O)O)CCO2,-116.3765
O=C(N[C@@H]1CN(C(=O)Cn2nc3ccccn3c2=O)C[C@H]1O)[C@@H]1C[C@H]2CC[C@@H]1O2,-109.3825
C=CC(=O)N[C@H](C)C(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)CNC(=O)C(F)(F)F)C2,-99.4263
Cn1c(=O)ccn(CC(=O)N[C@@H]2CN(C(=O)[C@@H]3C[C@@H]4O[C@H]3[C@H]3C[C@@H]43)C[C@H]2O)c1=O,-107.1956
CN(C)[C@@]1(CNC(=O)C(=O)NCCN2CCN(S(C)(=O)=O)CC2)CCSC1,-95.5157
CC(C=1C=CC(F)=CC1F)N2CCC(CC2)C(=O)NC=3C=CC=CN3,-98.7175
CN[C@H](CC(=O)N1CCO[C@@]2(COCCN(C(=O)[C@@H]3CCCOC3)C2)C1)C(=O)O,-108.9923
CN(C)C(=O)NCC(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)[C@@H](N)Cc1cscn1)C2,-100.5932
CCN1CCN(C(=O)[C@@H](C)N2CCN(S(=O)(=O)N3CCN(C)CC3)CC2)CC1,-94.8674
Cc1cc(CC(=O)N2CCO[C@]3(COCCN(C(=O)CN4CCNC4=N)C3)C2)no1,-117.682
CC(C)NC(=O)c1nnc(N(C)CCNS(C)(=O)=O)n1C[C@@]1(O)CCO[C@H]1C,-105.8809
CC1=NC(C)=C(CNC2=NC3=C(C=NN3C=4C=CC=CC4)C(=O)N2)O1,-98.5823
CCNC(=O)N[C@@H](C)C(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)[C@H]1CCNC(=O)C1,-100.7211
CN(CC(=O)N1CCN([C@@H]2CCS(=O)(=O)C2)CC1)C[C@H](O)CN1CCOCC1,-89.9418
O=C(Cn1ccncc1=O)N1CC[C@]2(C1)CN(C(=O)c1cccc(=O)n1O)CCO2,-116.0303
COc1ccc(C(=O)N2CCO[C@@]3(CCN(C(=O)CN(CCO)CCO)C3)C2)nc1,-100.0145
CN1N=C(C(=O)NC(CC2CC2)C(=O)O)C=3C=CC=CC31,-106.2496
CCNC(=O)N[C@@H](C)C(=O)N1CCOC[C@@]2(CN(C(=O)c3[nH]nnc3C)CCO2)C1,-106.0211
CN1C(=O)CC[C@H]1C(=O)N1CCO[C@@]2(COCCN(C(=O)[C@H]3CCNC(=O)C3)C2)C1,-106.7291
CC(C)(C)OC(=O)N[C@H](CCN)C(=O)N1CC2(CCCN2C(=O)CNC(=N)N)C1,-120.7893
CC=1N=C(NCC=2C=NN(C)C2)SC1CC=3C(F)=CC=CC3F,-91.6428
CCS(=O)(=O)N[C@H](C)C(=O)N1CCCC12CN(C(=O)CN1C(=O)C=CC1=O)C2,-100.4546
Cc1nn[nH]c1C(=O)N1CCOC[C@@]2(C1)CN(C(=O)[C@H](C)n1cnnn1)CCO2,-110.7956
CC1(CO)CCN(CC1)C(=O)NCC=2C=CC(=CC2)C(F)F,-87.4762
COc1ccc(NC(=O)C(=O)N2CCN3C(=O)NC(=O)[C@@H]3C2)cc1-n1cnnn1,-121.2044
CN[C@H](CC(=O)N1CCO[C@]2(CCN(C(=O)c3ccc(OC)nn3)C2)C1)C(=O)O,-135.8575
CN1CCC(N2CC[C@H](N(C)C(=O)C(=O)NCCC(=O)N3CCN(C)CC3)C2)CC1,-101.5245
