SMILES,TotalEnergy
Br.COC=1C=CC(CCN=C2NCCCCN2)=C(Cl)C1OC,-105.1413
BrC1=CC=C(O1)C2=NOC(=N2)C3=CC=NN3C4CCCC4,-111.8644
BrC1=CSC(=C1)C2=NOC(CSC3=NN=CN3)=N2,-113.7583
BrC=1C=CC(=CC1)C2(CNC(C3=NC=CN3)C=4C=CC=NC4)CCOCC2,-115.4544
BrC=1C=CC(=CC1)C2=NNC=C2CN3CCN(CC3)C4CCOCC4,-111.6539
BrC=1C=CC(CC2=NC(=NO2)N3CCNCC3)=C4C=CC=CC14,-113.0627
"BrC=1C=CC=2NC(=CC2C1)C3=NOC(=N3)[C@H]4C[C@@H]5CC[C@H]4O5 |&1:15,17,20,r|",-115.9885
BrC=1C=CC=C(C1)C2CCN(C2)C=3N=CN=C4N=CNC34,-108.9913
BrC=1C=CC=C2C1CCC2NCC3=NOC=4CCOCC34,-108.7279
BrC=1C=CC=C2C1OCCC2NC=3N=CN=C4NN=CC34,-115.3647
BrC=1C=CC=CC1C2CCCN2C=3N=CN=C4NN=CC34,-118.3475
BrC=1C=NC(=NC1)C2CCCN2C=3N=CN=C4CCCC34,-105.7037
BrC=1C=NC(=NC1)C2CCCN2C=3N=CN=C4NN=CC34,-120.904
BrC=1C=NC=C(C1)C2=CN(CC3=NC=C(O3)C4CC4)N=N2,-129.5155
BrC=1C=NN2C=CN=C(NCC3(CCCOC3)N4CCOCC4)C12,-116.1897
C#CC(=O)N1CCOC[C@@]2(C1)CN(C(=O)[C@@H](Cc1cnc[nH]1)NC(C)=O)CCO2,-120.7493
C#CC(=O)N1CCOC[C@@]2(C1)CN(C(=O)[C@H](CO)NC(=O)OC(C)(C)C)CCO2,-114.9226
C#CC(=O)N1CCOC[C@@]2(C1)CN(C(=O)c1n[nH]c3c1CS(=O)(=O)C3)CCO2,-123.7093
C#CC(=O)N1CCOC[C@]2(C1)CN(C(=O)[C@@H](Cc1cnc[nH]1)NC(C)=O)CCO2,-121.9272
C#CC(=O)N1CCOC[C@]2(C1)CN(C(=O)[C@H](C)NC(=O)c1cnccn1)CCO2,-109.701
C#CC(=O)N1CCOC[C@]2(C1)CN(C(=O)c1cc3n(n1)CCCNC3=O)CCO2,-115.2534
C#CC(=O)N1CCO[C@@]2(COCCN(C(=O)[C@@H](Cc3cnc[nH]3)NC(C)=O)C2)C1,-126.9948
C#CC(=O)N1CCO[C@@]2(COCCN(C(=O)[C@H](C)NC(=O)c3cnccn3)C2)C1,-111.2118
C#CC(=O)N1CCO[C@@]2(COCCN(C(=O)[C@H](CO)NC(=O)OC(C)(C)C)C2)C1,-114.3271
C#CC(=O)N1CCO[C@]2(COCCN(C(=O)[C@@H](Cc3cnc[nH]3)NC(C)=O)C2)C1,-120.9087
C#CC(=O)N1CCO[C@]2(COCCN(C(=O)[C@H](C)NC(=O)c3cnccn3)C2)C1,-110.3811
C#CC(=O)N1CCO[C@]2(COCCN(C(=O)[C@H](O)CNC(=O)OC(C)(C)C)C2)C1,-112.9218
C#CC(=O)N1CC[C@@]2(C1)CN(C(=O)Cn1cnc3c1c(=O)n(C)c(=O)n3C)CCO2,-128.719
C#CC(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)Cn1cnc3c1c(=O)n(C)c(=O)n3C)C2,-104.8335
C#CC(C)(C)N1CCN(CC1)S(=O)(=O)N2CC3CCC2C3,-81.1607
C#CC(NC(=O)C1(CC1)C=2C=CC(Cl)=CC2)C3CCOCC3,-118.6081
C#CC(NC(=O)C1CC(=O)N(CC(F)(F)F)C1)C(C)C,-101.8261
C#CC1(O)CCN(CC1)C(=O)NCCC2=C(C)NC=3C=CC=CC23,-112.6381
C#CC=1C=CC(=CC1)C2CCCN2C(=O)C=3C=NC=CC3C,-114.569
"C#CC=1C=CC(=NC1)C2=NN=C(N2)[C@@H]3CCO[C@H]3C=4C=CC=CC4 |&1:13,17,r|",-125.9113
C#CC=1C=CC=C(C1)NC(=O)CN(C)S(=O)(=O)C2=CC=C(Cl)S2,-105.744
C#CC=1C=CN=C(C1)N(CC)C(=O)C=2C=CC=C(C2)OCCOC,-108.3461
C#CCC(C)(C)C(=O)NC=1C=CC(=CN1)N2CCN(CC2=O)C(=O)C(C)(C)CC#C,-102.4729
C#CCC(CC(F)(F)F)NC(=O)C=1C=CC(=NN1)N2CCCC2,-109.4767
C#CCC(CC=1C=CC=CC1)NC=2C=CC=3N=CC=NC3N2,-105.1348
C#CCCC(=O)N1CCOC[C@@]2(C1)CN(C(=O)CNCP(=O)(O)O)CCO2,-115.8714
C#CCCC(=O)N1CCOC[C@@]2(C1)CN(C(=O)c1cc(=O)n3[nH]cnc3n1)CCO2,-102.865
C#CCCC(=O)N1CCOC[C@]2(C1)CN(C(=O)c1cc(=O)n3[nH]cnc3n1)CCO2,-113.6575
C#CCCC(=O)N1CCO[C@@]2(COCCN(C(=O)c3cc(=O)n4[nH]cnc4n3)C2)C1,-128.6691
C#CCCC(=O)N1CCO[C@]2(COCCN(C(=O)c3cc(=O)n4[nH]nnc4n3)C2)C1,-111.9637
C#CCCC(=O)NC1=NC(=CS1)C=2C=CC(=CC2)NS(C)(=O)=O,-119.9452
C#CCCC1(CCC(=O)N2CC3(CCCC3)C4=C(F)C=CC=C42)N=N1,-105.868
C#CCCC1(CCC(=O)NC2=CC=CC=C2N3C=CC(=N3)C(=O)O)N=N1,-136.8892
C#CCCC1(CCC(=O)NC2CCOC=3C(Cl)=CC=CC32)N=N1,-106.8653
C#CCCC1(CCC(=O)N[C@@H]2CC(=O)N(C)[C@H]2C3=CC=NN3C)N=N1,-115.3907
C#CCCC1(CCNC(=O)C2=CC=C(C)C(=C2)NC(=O)C3=CC=CO3)N=N1,-132.8671
C#CCCCC(=O)N1CCOC[C@@]2(C1)CN(C(=O)CN(C)C(=O)C(=O)O)CCO2,-111.0997
C#CCCCC(=O)N1CCOC[C@@]2(C1)CN(C(=O)CN(CCO)CCO)CCO2,-119.9484
C#CCCCC(=O)N1CCOC[C@@]2(C1)CN(C(=O)CN1C(=O)CNC1=O)CCO2,-122.8795
C#CCCCC(=O)N1CCOC[C@@]2(C1)CN(C(=O)CN1CC(=O)NC1=O)CCO2,-136.1375
C#CCCCC(=O)N1CCOC[C@@]2(C1)CN(C(=O)CNCP(=O)(O)O)CCO2,-118.5729
C#CCCCC(=O)N1CCOC[C@@]2(C1)CN(C(=O)[C@@H](O)N1CCOCC1)CCO2,-113.6426
C#CCCCC(=O)N1CCOC[C@@]2(C1)CN(C(=O)[C@H](O)N1CCOCC1)CCO2,-104.7095
C#CCCCC(=O)N1CCOC[C@]2(C1)CN(C(=O)CN1C(=O)CNC1=O)CCO2,-105.3459
C#CCCCC(=O)N1CCO[C@@]2(COCCN(C(=O)CN(C)C(=O)C(=O)O)C2)C1,-107.2026
C#CCCCC(=O)N1CCO[C@]2(COCCN(C(=O)CN3C(=O)CNC3=O)C2)C1,-110.3811
C#CCCCC(=O)N1CCO[C@]2(COCCN(C(=O)[C@H](O)N3CCOCC3)C2)C1,-113.1956
C#CCCN1CCCN(CC1)C=2N=CC(=CN2)S(N)(=O)=O,-100.6834
C#CCC[C@@H](O)CNC(=O)C(=O)Nc1cccc(S(=O)(=O)N2CCNC(=O)C2)c1,-121.707
C#CCN(C(=O)C=1C=NC(NC=2C=CC(F)=C(F)C2)=C(Cl)C1)C3CCN(C)CC3,-104.9461
